route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
B,ESP2_2,ESP2_B_2_3.B2,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_3.B3,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_3.B4,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_3.B5,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_3.B6,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_3.B7,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_3.B8,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_3.B9,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_3.B10,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_3.B11,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_3.B12,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_3.B13,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_3.B14,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_3.B15,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_3.B16,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_3.B17,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_3.B18,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_3.B19,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_3.B20,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_3.B21,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_3.B22,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_3.B23,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_3.B24,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_3.B25,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_3.B26,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_3.B27,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_3.B28,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_3.B29,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_3.B30,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_3.B31,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_3.B32,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_3.B33,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_3.B34,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_3.B35,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_3.B36,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_3.B37,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_3.B38,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_3.B39,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_3.B40,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_3.B41,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_3.B041,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_3.B042,Odivelas,1,ESP2_shp_amarela_ra-od
A,ESP2_2,ESP2_A_2_3.A1,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_3.A2,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_3.A3,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_3.A4,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_3.A5,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_3.A6,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_3.A7,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_3.A8,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_3.A9,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_3.A10,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_3.A11,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_3.A12,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_3.A13,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_3.A14,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_3.A15,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_3.A16,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_3.A17,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_3.A18,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_3.A19,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_3.A20,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_3.A21,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_3.A22,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_3.A23,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_3.A24,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_3.A25,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_3.A26,Reboleira,1,ESP2_shp_azul_sp-rb
